pdf	markdown	source	pdf_words	md_words	matched_words	md_coverage	longest_block_ratio	word_similarity	likely_covered
06-138JO.pdf	decret-06-138-emissions-atmospheriques.md	native	14705	1740	1475	0.8477	0.3684	0.1794	False
21-430.pdf	decret-21-430-gpl-carburant.md	native	18657	795	794	0.9987	0.9987	0.0816	True
22-167.pdf	decret-22-167-etablissements-classes-modification.md	native	12909	4031	3757	0.932	0.2166	0.4436	False
Arrêtéinterministérieldu21novembre1999.pdf	arrete-interministeriel-1999-11-21-conservation-aliments.md	native	0	803	0	0.0	0.0	0.0	False
Arrêtéinterministérieldu2Moharram1438correspondantau4octobre2016fixantlescritèresmicrobiologiquesdesdenréesalimentaires.pdf	arrete-interministeriel-2016-10-04-criteres-microbiologiques.md	native	5718	7644	2329	0.3047	0.0034	0.3486	False
Arrêtéinterministérieldu9DhouElKaâda1446correspondantau7mai2025fixantlesconditionsparticulièresd’hygièneetdesalubritéapplicablesdanslesétablissementsderestauration.pdf	arrete-interministeriel-2025-05-07-hygiene-restauration.md	native	3815	4382	2683	0.6123	0.0062	0.6546	False
Decret06-198.pdf	decret-06-198-etablissements-classes.md	native	4660	4590	4038	0.8797	0.0841	0.8731	False
Decret17-140.pdf	decret-17-140-hygiene-alimentaire.md	native	2545	5468	3	0.0005	0.0002	0.0007	False
Décret02-427.pdf	decret-02-427-prevention-risques-professionnels.md	native	18777	1348	1326	0.9837	0.5601	0.1318	True
Décret04-82.pdf	decret-04-82-agrement-sanitaire-animaux.md	native	12759	1626	1620	0.9963	0.3727	0.2252	True
Décret06-138.pdf	decret-06-138-emissions-atmospheriques.md	native	1878	1740	1701	0.9776	0.1546	0.9403	True
Décret07-144.pdf	decret-07-144-nomenclature-installations-classees.md	native	27833	5553	1102	0.1985	0.0472	0.066	False
Décret09-335.pdf	decret-09-335-plans-internes-intervention.md	native	1686	870	164	0.1885	0.0322	0.1283	False
Décret76-35.pdf	decret-76-35-igh-incendie.md	OCR	3174	2306	862	0.3738	0.0065	0.3146	False
Décret83-496.pdf	decret-83-496-gpl-carburant.md	OCR	18539	1219	15	0.0123	0.0016	0.0015	False
Décret90-245du18août1990(appareilsàpressiondegaz).pdf	decret-90-245-appareils-pression-gaz.md	OCR	21670	4016	1388	0.3456	0.003	0.1081	False
LOI04-08.pdf	loi-04-08-activites-commerciales.md	native	3866	3552	3548	0.9989	0.2337	0.9566	True
LOI90-11.pdf	loi-90-11-relations-travail.md	native	11563	11555	11533	0.9981	0.5558	0.9978	True
Loi-03-10.pdf	loi-03-10-protection-environnement.md	native	10964	10932	10458	0.9566	0.1407	0.9552	True
Loi01-19.pdf	loi-01-19-gestion-dechets.md	native	5306	5196	4994	0.9611	0.2785	0.9511	True
Loi04-20.pdf	loi-04-20-risques-majeurs.md	native	6214	6193	5913	0.9548	0.0791	0.9532	True
Loi09-03_frarticle.pdf	loi-09-03-protection-consommateur.md	native	88730	7753	2423	0.3125	0.0095	0.0502	False
arrete-interministeriel-2011-02-06-permis-construire-energie.pdf	arrete-interministeriel-2011-02-06-permis-construire-energie.md	native	3295	3213	3200	0.996	0.221	0.9834	True
dec21-261.pdf	decret-21-261-esp-equipements-hydrocarbures.md	native	10938	10500	9788	0.9322	0.0833	0.9131	False
decret-25-63-plans-intervention-catastrophes.pdf	decret-25-63-plans-intervention-catastrophes.md	native	3515	3217	2512	0.7809	0.166	0.7463	False
decret06-141.pdf	decret-06-141-rejets-effluents-liquides.md	native	15089	1950	1265	0.6487	0.399	0.1485	False
decret09-19.pdf	decret-09-19.md	native	1148	1138	1082	0.9508	0.6186	0.9466	True
decret11-125.pdf	decret-11-125-eau-consommation-humaine.md	native	1304	1253	977	0.7797	0.5978	0.7642	False
decret21-319.pdf	decret-21-319-autorisation-exploitation-hydrocarbures.md	native	9987	9866	9192	0.9317	0.0883	0.926	False
decret24-196.pdf	decret-24-196-etablissements-classes-modification.md	native	1417	978	823	0.8415	0.4519	0.6873	False
decret91-05.pdf	decret-91-05-hygiene-securite-milieu-travail.md	OCR	5469	5403	2749	0.5088	0.0204	0.5057	False
decret93-120.pdf	decret-93-120-medecine-du-travail.md	OCR	3489	3455	1698	0.4915	0.0269	0.4891	False
loi05-12.pdf	loi-05-12-ressources-en-eau.md	native	13046	12716	12642	0.9942	0.0676	0.9814	True
loi09-03.pdf	loi-09-03-protection-consommateur.md	native	8734	7753	7706	0.9939	0.1105	0.9348	True
loi18-11.pdf	loi-18-11-sante.md	native	29713	27371	26937	0.9841	0.0368	0.9438	True
loi19-02.pdf	loi-19-02-incendie-panique.md	native	15279	3935	3841	0.9761	0.2081	0.3998	True
loi90-29.pdf	loi-90-29-urbanisme.md	OCR	20205	5720	2440	0.4266	0.0049	0.1882	False
COUNTS
pairs 37
likely_covered 15
coverage_ge_0.90 18
coverage_0.70_0.90 5
coverage_lt_0.70 14
