pdf	markdown	source	pdf_chars	md_chars	len_ratio	word_similarity	pdf_articles	md_articles	article_equal	exact
06-138JO.pdf	decret-06-138-emissions-atmospheriques.md	native	93031	12343	0.1327	0.1784	102	19	False	False
21-430.pdf	decret-21-430-gpl-carburant.md	native	122336	5131	0.0419	0.0739	117	3	False	False
22-167.pdf	decret-22-167-etablissements-classes-modification.md	native	86219	25956	0.301	0.4371	54	12	False	False
Arrêtéinterministérieldu21novembre1999.pdf	arrete-interministeriel-1999-11-21-conservation-aliments.md	native	0	5374	0	0.0	0	10	False	False
Arrêtéinterministérieldu2Moharram1438correspondantau4octobre2016fixantlescritèresmicrobiologiquesdesdenréesalimentaires.pdf	arrete-interministeriel-2016-10-04-criteres-microbiologiques.md	native	37499	45367	0.8266	0.3084	14	14	True	False
Arrêtéinterministérieldu9DhouElKaâda1446correspondantau7mai2025fixantlesconditionsparticulièresd’hygièneetdesalubritéapplicablesdanslesétablissementsderestauration.pdf	arrete-interministeriel-2025-05-07-hygiene-restauration.md	native	25081	25457	0.9852	0.6293	48	48	True	False
Decret06-198.pdf	decret-06-198-etablissements-classes.md	native	29361	29806	0.9851	0.7728	55	50	False	False
Decret17-140.pdf	decret-17-140-hygiene-alimentaire.md	native	159704	36626	0.2293	0.0003	0	64	False	False
Décret02-427.pdf	decret-02-427-prevention-risques-professionnels.md	native	113814	8564	0.0752	0.1379	108	24	False	False
Décret04-82.pdf	decret-04-82-agrement-sanitaire-animaux.md	native	76820	10739	0.1398	0.2228	50	18	False	False
Décret06-138.pdf	decret-06-138-emissions-atmospheriques.md	native	18434	12343	0.6696	0.6989	19	19	True	False
Décret07-144.pdf	decret-07-144-nomenclature-installations-classees.md	native	161710	35571	0.22	0.1978	4	4	True	False
Décret09-335.pdf	decret-09-335-plans-internes-intervention.md	native	10603	5864	0.5531	0.1534	21	21	True	False
Décret76-35.pdf	decret-76-35-igh-incendie.md	OCR	18805	14167	0.7534	0.276	11	26	False	False
Décret83-496.pdf	decret-83-496-gpl-carburant.md	OCR	77080	10411	0.1351	0.0017	1	21	False	False
Décret90-245du18août1990(appareilsàpressiondegaz).pdf	decret-90-245-appareils-pression-gaz.md	OCR	130540	22464	0.1721	0.0977	99	24	False	False
LOI04-08.pdf	loi-04-08-activites-commerciales.md	native	23373	22050	0.9434	0.9449	44	44	True	False
LOI90-11.pdf	loi-90-11-relations-travail.md	native	69698	70285	0.9916	0.9652	179	179	True	False
Loi-03-10.pdf	loi-03-10-protection-environnement.md	native	67282	67257	0.9996	0.9549	114	114	True	False
Loi01-19.pdf	loi-01-19-gestion-dechets.md	native	32448	31879	0.9825	0.9602	72	72	True	False
Loi04-20.pdf	loi-04-20-risques-majeurs.md	native	38774	38986	0.9946	0.9353	75	75	True	False
Loi09-03_frarticle.pdf	loi-09-03-protection-consommateur.md	native	557799	47197	0.0846	0.0233	583	95	False	False
arrete-interministeriel-2011-02-06-permis-construire-energie.pdf	arrete-interministeriel-2011-02-06-permis-construire-energie.md	native	19981	20229	0.9877	0.9691	22	22	True	False
dec21-261.pdf	decret-21-261-esp-equipements-hydrocarbures.md	native	69520	67172	0.9662	0.9047	104	104	False	False
decret-25-63-plans-intervention-catastrophes.pdf	decret-25-63-plans-intervention-catastrophes.md	native	21612	20214	0.9353	0.7301	33	30	False	False
decret06-141.pdf	decret-06-141-rejets-effluents-liquides.md	native	97195	13263	0.1365	0.1405	107	14	False	False
decret09-19.pdf	decret-09-19.md	native	7127	7211	0.9884	0.8807	16	17	False	False
decret11-125.pdf	decret-11-125-eau-consommation-humaine.md	native	7647	8088	0.9455	0.6848	9	9	True	False
decret21-319.pdf	decret-21-319-autorisation-exploitation-hydrocarbures.md	native	61802	61615	0.997	0.9308	98	98	False	False
decret24-196.pdf	decret-24-196-etablissements-classes-modification.md	native	8958	6588	0.7354	0.8174	5	3	False	False
decret91-05.pdf	decret-91-05-hygiene-securite-milieu-travail.md	OCR	34001	33908	0.9973	0.4955	35	68	False	False
decret93-120.pdf	decret-93-120-medecine-du-travail.md	OCR	20447	20407	0.998	0.4886	11	40	False	False
loi05-12.pdf	loi-05-12-ressources-en-eau.md	native	80198	79026	0.9854	0.9723	183	183	True	False
loi09-03.pdf	loi-09-03-protection-consommateur.md	native	52468	47197	0.8995	0.9244	99	95	False	False
loi18-11.pdf	loi-18-11-sante.md	native	187456	172917	0.9224	0.9367	455	450	False	False
loi19-02.pdf	loi-19-02-incendie-panique.md	native	99909	24373	0.244	0.3864	117	47	False	False
loi90-29.pdf	loi-90-29-urbanisme.md	OCR	123677	35621	0.288	0.1914	103	81	False	False

COUNTS
pairs 37
native 31
ocr 6
article_equal 13
exact 0
high_similarity_ge_0.90 11
medium_similarity_0.70_0.90 4
low_similarity_lt_0.70 22
